Make,Model,Variant,ExShowroomPrice,Displacement,Cylinders,ValvesPerCylinder,Drivetrain,CylinderConfiguration,EmissionNorm,Engine_ocation,FuelSystem,FuelTankCapacity,FuelType,Height,Length,Width,BodyType,Doors,CityMileage,HighwayMileage
Mahindra,Xylo,2 Bs-Iv,963037,2489 cc,4,4,FWD (Front Wheel Drive),In-line,BS IV,Front Longitudinal,Injection,55,Diesel,1895,420,1850,SUV,5,10.70,13.6
Mahindra,Xylo,D4 Bs-Iv,1004487,2489 cc,4,4,FWD (Front Wheel Drive),In-line,BS IV,Front Longitudinal,Injection,55,Diesel,1895,420,1850,SUV,5,10.30,13.6
Mahindra,Xylo,H4 Bs-Iv,1031951,2179 cc,4,4,FWD (Front Wheel Drive),In-line,BS IV,Front Transverse,Injection,55,Diesel,1895,420,1850,SUV,5,11.40,14.6
Mahindra,Xylo,H4 Abs Bs-Iv,1066139,2179 cc,4,4,FWD (Front Wheel Drive),In-line,BS IV,Front Transverse,Injection,55,Diesel,1895,420,1850,SUV,5,11.40,14.6
Mahindra,Xylo,H8 Abs Airbags Bs-Iv,228335,2179 cc,4,4,FWD (Front Wheel Drive),In-line,BS IV,Front Transverse,Injection,55,Diesel,1895,420,1850,SUV,5,11.40,14.6
Kia,Seltos,Hte 1.5,989000,1497 cc,4,,FWD (Front Wheel Drive),In-line,BS 6,Front Longitudinal,Injection,60,Petrol,1645,4315,1800,SUV,5,,
Kia,Seltos,Htk 1.5,1029000,1497 cc,,,FWD (Front Wheel Drive),In-line,BS 6,Front Longitudinal,Injection,60,Petrol,1645,4315,1800,SUV,5,,
Kia,Seltos,Htk Plus 1.5,1149000,1497 cc,,,FWD (Front Wheel Drive),In-line,BS 6,Front Longitudinal,Injection,60,Petrol,1645,4315,1800,SUV,5,,
Kia,Seltos,Htx 1.5,1309000,1497 cc,,,FWD (Front Wheel Drive),In-line,BS 6,Front Longitudinal,Injection,60,Petrol,1645,4315,1800,SUV,5,,
Kia,Seltos,Htx Cvt 1.5,1409000,1497 cc,,,FWD (Front Wheel Drive),In-line,BS 6,Front Longitudinal,Injection,60,Petrol,1645,4315,1800,SUV,5,,
Kia,Seltos,Hte 1.5 Diesel,1034000,1493 cc,,,FWD (Front Wheel Drive),In-line,BS 6,Front Longitudinal,Injection,60,Diesel,1645,4315,1800,SUV,5,,
Kia,Seltos,Htk 1.5 Diesel,1154000,1493 cc,,,FWD (Front Wheel Drive),In-line,BS 6,Front Longitudinal,Injection,60,Diesel,1645,4315,1800,SUV,5,,
Kia,Seltos,Htk Plus 1.5 Diesel,254000,1493 cc,,,FWD (Front Wheel Drive),In-line,BS 6,Front Longitudinal,Injection,60,Diesel,1645,4315,1800,SUV,5,,
Kia,Seltos,Htk Plus At 1.5 Diesel,1354000,1493 cc,,,FWD (Front Wheel Drive),In-line,BS 6,Front Longitudinal,Injection,60,Diesel,1645,4315,1800,SUV,5,,
Kia,Seltos,Htx Plus 1.5 Diesel,1534000,1493 cc,,,FWD (Front Wheel Drive),In-line,BS 6,Front Longitudinal,Injection,60,Diesel,1645,4315,1800,SUV,5,,
Kia,Seltos,Htx Plus At 1.5 Diesel,1634000,1493 cc,,,FWD (Front Wheel Drive),In-line,BS 6,Front Longitudinal,Injection,60,Diesel,1645,4315,1800,SUV,5,,
Kia,Seltos,Gtk 1.4,1379000,1353 cc,4,,FWD (Front Wheel Drive),In-line,BS 6,Front Longitudinal,Injection,50,Petrol,1645,4315,1800,SUV,5,,
Kia,Seltos,Gtx 1.4,1529000,1353 cc,4,,FWD (Front Wheel Drive),In-line,BS 6,Front Longitudinal,Injection,50,Petrol,1645,4315,1800,SUV,5,,
Kia,Seltos,Gtx At 1.4,1629000,1353 cc,4,,FWD (Front Wheel Drive),In-line,BS 6,Front Longitudinal,Injection,50,Petrol,1645,4315,1800,SUV,5,,
Kia,Seltos,Gtx Plus 1.4,1629000,1353 cc,4,,FWD (Front Wheel Drive),In-line,BS 6,Front Longitudinal,Injection,50,Petrol,1645,4315,1800,SUV,5,,
Kia,Seltos,Htx 1.5 Diesel,1414000,1493 cc,,,FWD (Front Wheel Drive),In-line,BS 6,Front Longitudinal,Injection,60,Diesel,1645,4315,1800,SUV,5,,
